,city,lat,temp_max,windspeed,cloudiness,humidity
0,rikitea,-23.12,73.2,10.8,64,100
1,minab,27.15,93.2,4.7,0,52
2,manggar,-2.88,79.23,9.46,68,90
3,butaritari,3.07,82.11,5.21,92,100
4,bethel,60.79,53.6,16.11,90,93
5,pangai,-19.8,71.6,9.17,20,73
6,pedasi,7.53,81.75,6.78,24,100
7,assiniboia,49.63,66.27,16.73,24,63
8,marawi,8.0,68.97,1.41,68,100
9,kapaa,22.08,78.8,14.99,20,78
10,vaini,15.34,69.42,6.67,100,98
11,yulara,-25.24,37.4,4.09,0,29
12,lebu,8.96,53.49,2.75,64,97
13,spisske podhradie,49.0,75.2,3.36,40,68
14,salalah,17.01,80.6,8.05,90,88
15,bilibino,68.06,63.48,2.19,8,69
16,shiraz,29.61,78.8,4.54,0,15
17,avarua,-21.21,73.38,3.65,56,100
18,kavieng,-2.57,82.65,10.69,36,100
19,luangwa,-15.62,72.03,13.94,0,51
20,upernavik,72.79,33.87,8.01,64,100
21,vila,45.18,86.0,2.24,0,42
22,albany,42.65,93.2,5.82,40,41
23,atuona,-9.8,80.31,9.46,0,99
24,syasstroy,60.14,63.93,4.43,12,67
25,mahebourg,-20.41,75.2,19.46,40,69
26,oum hadjer,13.3,89.4,8.01,56,44
27,hithadhoo,-0.6,83.1,4.76,8,100
28,birobidzhan,48.79,63.12,11.92,44,59
29,keuruu,62.26,60.8,8.05,90,100
30,vila velha,-3.71,86.0,16.11,20,55
31,punta arenas,-53.16,32.0,5.82,90,100
32,saint-philippe,45.36,91.4,10.29,1,41
33,kodiak,39.95,87.8,12.75,1,66
34,ushuaia,-54.81,35.6,5.82,0,80
35,dikson,73.51,36.48,23.11,88,100
36,hermanus,-34.42,39.63,2.19,8,93
37,cape town,-33.93,53.6,4.7,0,87
38,kaabong,3.51,62.49,1.86,36,91
39,mirabad,28.27,73.56,7.56,0,15
40,beloha,-25.17,72.3,14.72,0,60
41,banda aceh,5.56,78.24,5.21,68,84
42,burnie,-41.05,54.39,22.77,88,100
43,yellowknife,62.45,62.6,6.93,20,42
44,torbay,47.66,82.4,19.46,20,42
45,katobu,-4.94,75.18,2.42,48,100
46,benguela,-12.58,70.59,6.89,0,100
47,cherskiy,68.75,61.23,5.1,0,46
48,buraydah,26.33,107.6,12.75,0,15
49,najran,17.54,95.0,6.93,5,15
50,muhos,64.81,62.6,8.05,24,77
51,aykhal,65.95,62.67,3.31,88,85
52,caravelas,-17.73,76.89,5.99,0,100
53,hambantota,6.12,82.11,13.71,36,95
54,namatanai,-3.66,81.75,8.79,36,100
55,kahului,20.89,80.6,13.87,20,69
56,pacific grove,36.62,64.4,6.93,90,72
57,longyearbyen,78.22,42.8,9.17,75,87
58,puro,13.13,77.7,3.53,88,96
59,new norfolk,-42.78,46.4,5.82,20,93
60,herat,34.35,86.0,18.34,0,30
61,tuktoyaktuk,69.44,57.2,14.99,75,76
62,bluff,-23.58,59.25,7.67,92,97
63,vysokogornyy,50.1,48.09,4.76,80,81
64,east london,-33.02,50.0,6.93,0,61
65,kidal,18.44,98.58,10.02,0,11
